"chr","start","end","width","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea","gene_id","gene_symbol","gene_start","gene_end","gene_width","DMB_Overlap"
"chr8",39172097,39172120,23,-0.00715916567627326,0.028636662705093,132969,192843,192846,4,8,0.0753848426087827,1,0.113682816318947,1,NA,NA,NA,NA,NA,"No"
"chr3",129324501,129324717,216,0.00953498623374398,0.028604958701232,96036,85076,85078,3,9,0.0557794283699635,1,0.113920082328447,1,"23129","PLXND1",129274056,129325582,51527,"No"
"chr1",152161885,152162025,140,0.00945214243206841,0.0283564272962052,8826,26215,26217,3,8,0.0578271579057701,1,0.115526630489159,1,NA,NA,NA,NA,NA,"No"
"chr3",62356223,62356774,551,0.00943141389314926,0.0282942416794478,93542,79681,79683,3,63,0.05835790958164,1,0.115968764739794,1,"55079","FEZF2",62355347,62359190,3844,"No"
"chr1",23810871,23810942,71,-0.00942897266813129,0.0282869180043939,3044,9755,9757,3,12,0.0584274694960718,1,0.116019267143422,1,"55616","ASAP3",23755056,23811057,56002,"No"
"chr2",198651347,198651576,229,0.00942650915793359,0.0282795274738008,81207,62775,62777,3,16,0.0584855949040216,1,0.11606405229381,1,NA,NA,NA,NA,NA,"No"
"chr7",157415380,157415538,158,0.0140764158861102,0.0281528317722204,130359,185495,185496,2,14,0.0232110952827896,1,0.116882572382808,1,NA,NA,NA,NA,NA,"No"
"chr6",28542401,28542563,162,0.0140385105240179,0.0280770210480358,115579,136242,136243,2,16,0.0234483612922898,1,0.117374256161531,1,NA,NA,NA,NA,NA,"No"
"chr14",34420413,34420468,55,0.00699005198958809,0.0279602079583524,42248,293153,293156,4,12,0.0768179674211853,1,0.118168954362026,1,NA,NA,NA,NA,NA,"No"
"chr12",133014881,133015059,178,0.00930262866907441,0.0279078860072232,37610,280036,280038,3,19,0.0617206073628693,1,0.118525329814046,1,NA,NA,NA,NA,NA,"No"
"chr5",177631904,177632259,355,-0.0139329801177391,0.0278659602354783,113201,129826,129827,2,16,0.0241134684193224,1,0.118794993591912,1,"3182","HNRNPAB",177631508,177638184,6677,"No"
"chr11",46354562,46354574,12,0.00693396916384488,0.0277358766553795,24635,243189,243192,4,15,0.0770590449328461,1,0.119620183809692,1,"8525","DGKZ",46354455,46402104,47650,"No"
"chr10",82167757,82167774,17,-0.00912159267397446,0.0273647780219234,18380,223186,223188,3,11,0.066916637683369,1,0.122097660214111,1,"84293","PRXL2A",82167585,82192753,25169,"No"
"chr13",41240503,41240516,13,0.0136772067069325,0.027354413413865,38942,283701,283702,2,16,0.0258524662801168,1,0.122162455750842,1,"2308","FOXO1",41048131,41240734,192604,"No"
"chr1",247494708,247494767,59,-0.0135384934774308,0.0270769869548615,14205,40405,40406,2,18,0.0268882419922722,1,0.124074876959946,1,"84838","ZNF496",247463622,247495045,31424,"No"
"chr4",3374767,3374909,142,-0.00896240551535255,0.0268872165460577,99614,95061,95063,3,23,0.0718534858569448,1,0.125447970613318,1,NA,NA,NA,NA,NA,"No"
"chr15",76603992,76604113,121,-0.00894924167948037,0.0268477250384411,49681,312863,312865,3,9,0.0722765625967764,1,0.125710964262403,1,NA,NA,NA,NA,NA,"No"
"chr17",62341026,62341149,123,-0.00891534524246145,0.0267460357273844,62356,352201,352203,3,13,0.0733857097255242,1,0.126455160059269,1,NA,NA,NA,NA,NA,"No"
"chr17",9808122,9808263,141,0.00891194573414191,0.0267358372024257,58483,340285,340287,3,9,0.0734952904126428,1,0.126529484351401,1,"5957","RCVRN",9801027,9808684,7658,"No"
"chr5",41869679,41870081,402,-0.00888882640353306,0.0266664792105992,107396,114988,114990,3,14,0.0742061355656031,1,0.127043084267548,1,"5019","OXCT1",41730167,41870791,140625,"No"
"chr16",57570057,57570280,223,-0.00887832660131045,0.0266349798039313,54621,327750,327752,3,8,0.0745510765111415,1,0.127276538774888,1,"92922","CCDC102A",57546090,57570477,24388,"No"
"chr14",65438707,65438743,36,0.00887582340515104,0.0266274702154531,43453,296284,296286,3,10,0.0746320709320552,1,0.127333711307298,1,"100529261","CHURC1-FNTB",65381079,65529373,148295,"No"
"chr14",65438707,65438743,36,0.00887582340515104,0.0266274702154531,43453,296284,296286,3,10,0.0746320709320552,1,0.127333711307298,1,"376267","RAB15",65412532,65438875,26344,"No"
"chr12",133385234,133385318,84,0.00884346144612881,0.0265303843383864,37703,280526,280528,3,19,0.0757183490478391,1,0.1280550380912,1,NA,NA,NA,NA,NA,"No"
"chr11",93063886,93063934,48,0.00882829365625699,0.026484880968771,27743,253020,253022,3,11,0.076237666217227,1,0.128393308907957,1,"159989","DEUP1",93063156,93171636,108481,"No"
"chr6",37617864,37618009,145,0.00875673199530917,0.0262701959859275,116650,147390,147392,3,11,0.0786865563554416,1,0.130035113463655,1,"266727","MDGA1",37600284,37665766,65483,"No"
"chr19",17008650,17008851,201,0.00873175671645239,0.0261952701493572,68668,374139,374141,3,8,0.0795470029682073,1,0.130634472178416,1,"27151","CPAMD8",17003762,17137625,133864,"No"
"chr15",57025816,57025818,2,0.0130887348632941,0.0261774697265881,48060,308955,308956,2,8,0.0307111786593994,1,0.130777403509441,1,"54816","ZNF280D",56922374,57210697,288324,"No"
"chr12",110151678,110151938,260,0.0130596333781091,0.0261192667562183,35624,273811,273812,2,15,0.030957020548761,1,0.131270993039244,1,NA,NA,NA,NA,NA,"No"
"chr5",1278791,1278864,73,-0.0130534257957035,0.0261068515914071,105931,111268,111269,2,11,0.0310265804631928,1,0.131387243855144,1,"7015","TERT",1253287,1295162,41876,"No"
"chr16",89977652,89977815,163,0.00868563327365001,0.02605689982095,57196,335508,335510,3,7,0.0811983362793069,1,0.131783640079851,1,"22980","TCF25",89939994,89977792,37799,"No"
"chr1",43832826,43832951,125,-0.00862895114094396,0.0258868534228319,4924,15496,15498,3,15,0.0832584531971357,1,0.133228199398736,1,"64834","ELOVL1",43829068,43833745,4678,"No"
"chr8",25901177,25901422,245,0.00862757209388507,0.0258827162816552,132282,191104,191106,3,58,0.0833089556007642,1,0.133266314420342,1,"5520","PPP2R2A",25230075,26230195,1000121,"No"
"chr8",25901177,25901422,245,0.00862757209388507,0.0258827162816552,132282,191104,191106,3,58,0.0833089556007642,1,0.133266314420342,1,"64641","EBF2",25699246,25902640,203395,"No"
"chr1",76189707,76189801,94,-0.00858967470340195,0.0257690241102058,6602,19945,19947,3,14,0.0847392217865463,1,0.134263022235351,1,NA,NA,NA,NA,NA,"No"
"chr15",89921845,89922071,226,0.00858571033418729,0.0257571310025619,50466,314829,314831,3,19,0.0848688128600083,1,0.134370697171389,1,"254559","MIR9-3HG",89911330,89941718,30389,"No"
"chr15",100106125,100106207,82,0.0084919693836929,0.0254759081510787,51097,316543,316545,3,8,0.088428755878051,1,0.136956801387387,1,"4205","MEF2A",100106133,100256629,150497,"No"
"chr16",12070685,12070864,179,-0.00845384786259768,0.025361543587793,52729,322586,322588,3,10,0.0898342472997889,1,0.137970660962118,1,"92017","SNX29",12070602,12668146,597545,"No"
"chr17",80477464,80477518,54,0.00843926798096274,0.0253178039428882,64378,359194,359196,3,8,0.0903935852418636,1,0.138382303195468,1,NA,NA,NA,NA,NA,"No"
"chr6",2245749,2245854,105,-0.00842939522049268,0.025288185661478,113816,131643,131645,3,9,0.0907833113377896,1,0.138667212981976,1,"2762","GMDS",1624035,2245868,621834,"No"
"chr5",179247983,179247990,7,0.0125390164232734,0.0250780328465467,113423,130456,130457,2,7,0.0364131858917248,1,0.140759727668171,1,"8878","SQSTM1",179233388,179265077,31690,"No"
"chr11",34379532,34379731,199,0.00826213515697702,0.024786405470931,24124,241856,241858,3,17,0.09751918853119,1,0.143681244074305,1,"25841","ABTB2",34172534,34379555,207022,"No"
"chr14",92789500,92790097,597,0.00826173937777067,0.024785218133312,44890,299725,299727,3,15,0.0975353874153727,1,0.143690772829707,1,"123041","SLC24A4",92788925,92967825,178901,"No"
"chr1",228464049,228464232,183,-0.00824178071602557,0.0247253421480767,13092,37724,37726,3,12,0.0983834466461163,1,0.144303471802031,1,"84033","OBSCN",228395831,228566575,170745,"No"
"chr6",28317393,28317483,90,0.00822995680422381,0.0246898704126714,115546,136086,136088,3,7,0.0988960936867231,1,0.144669376009453,1,"64288","ZSCAN31",28292515,28324048,31534,"No"
"chr8",17272520,17272669,149,-0.0123340638925325,0.024668127785065,131709,189615,189616,2,15,0.0389697509659776,1,0.144885678757069,1,NA,NA,NA,NA,NA,"No"
"chr3",122640625,122640935,310,0.00822269523529743,0.0246680857058923,95422,83529,83531,3,7,0.0991952966063338,1,0.144885678757069,1,"54437","SEMA5B",122628040,122747452,119413,"No"
"chr11",130298172,130298267,95,-0.0122981462428361,0.0245962924856722,29961,258581,258582,2,20,0.0394290369763353,1,0.145647979189198,1,"11095","ADAMTS8",130274818,130298539,23722,"No"
"chr2",26395824,26395859,35,-0.00816119501576309,0.0244835850472893,73925,44904,44906,3,13,0.10177187206693,1,0.146855272498583,1,NA,NA,NA,NA,NA,"No"
"chr8",144451413,144451643,230,0.0081606649231682,0.0244819947695046,137153,202955,202957,3,14,0.101798552582054,1,0.146876235760466,1,"114822","RHPN1",144451025,144466390,15366,"No"
"chr3",126194162,126194459,297,0.0121147942753787,0.0242295885507575,95706,84129,84130,2,13,0.0419751204196464,1,0.149648150706795,1,"79364","ZXDC",126156444,126194762,38319,"No"
"chr4",148653443,148653449,6,0.0121100058109539,0.0242200116219077,104187,106540,106541,2,10,0.0420456332096183,1,0.149755825642834,1,NA,NA,NA,NA,NA,"No"
"chr11",1283875,1283970,95,-0.00805075661201225,0.0241522698360368,22069,235370,235372,3,7,0.106421904702917,1,0.150527654830364,1,NA,NA,NA,NA,NA,"No"
"chr7",54900801,54900936,135,-0.0080463831723457,0.0241391495170371,125553,172169,172171,3,9,0.10661533843757,1,0.150688690796652,1,NA,NA,NA,NA,NA,"No"
"chr6",88875836,88875844,8,0.00798121467953608,0.0239436440386082,118443,151984,151986,3,13,0.109462530551572,1,0.152935571320352,1,NA,NA,NA,NA,NA,"No"
"chr1",20812335,20812353,18,-0.0118988895501305,0.0237977791002611,2711,8923,8924,2,18,0.045262541033203,1,0.154654558794803,1,NA,NA,NA,NA,NA,"No"
"chr13",41635251,41635362,111,-0.0118814503687209,0.0237629007374418,38960,283758,283759,2,15,0.0455179116779662,1,0.155070965405854,1,NA,NA,NA,NA,NA,"No"
"chr5",173315876,173315978,102,-0.00791397526858504,0.0237419258057551,112829,128661,128663,3,16,0.11246313562754,1,0.155290126780091,1,"80315","CPEB4",173315331,173387313,71983,"No"
"chr3",170075446,170075452,6,-0.0118604906080248,0.0237209812160496,97521,88923,88924,2,15,0.0458514181170226,1,0.155536921544992,1,NA,NA,NA,NA,NA,"No"
"chr1",200272112,200272215,103,-0.00788486813627841,0.0236546044088352,11192,32802,32804,3,8,0.113685674945567,1,0.156315420861304,1,NA,NA,NA,NA,NA,"No"
"chr11",11642011,11642360,349,-0.00784629290579561,0.0235388787173868,23092,239132,239134,3,15,0.115372264651653,1,0.157714242154261,1,"374378","GALNT18",11292421,11643561,351141,"No"
"chr1",215256254,215256262,8,0.0117432626755649,0.0234865253511299,12405,35899,35900,2,13,0.0477543105707248,1,0.158337422757527,1,"3776","KCNK2",215178885,215410436,231552,"Yes"
"chr7",113726103,113726252,149,0.00782854171669337,0.0234856251500801,127943,178743,178745,3,13,0.116148858216884,1,0.158347904388468,1,NA,NA,NA,NA,NA,"No"
"chr10",77542488,77542585,97,-0.00781984313438418,0.0234595294031526,18000,222548,222550,3,10,0.116509045171065,1,0.1586547303124,1,"83938","LRMDA",77542519,78317126,774608,"No"
"chr7",151146005,151146115,110,0.0117275694457486,0.0234551388914973,129859,183755,183756,2,7,0.0480382674816929,1,0.158708091342649,1,NA,NA,NA,NA,NA,"No"
"chr1",10856202,10856466,264,0.0117253776155695,0.023450755231139,1626,6283,6284,2,21,0.0480668537478977,1,0.158756687995198,1,NA,NA,NA,NA,NA,"No"
"chr11",75921433,75921810,377,0.00778664902731379,0.0233599470819414,27136,251667,251669,3,7,0.117967897623052,1,0.159919196154194,1,NA,NA,NA,NA,NA,"No"
"chr10",115860280,115860310,30,-0.00778398290817841,0.0233519487245352,20167,228364,228366,3,8,0.118095582945434,1,0.160018295210371,1,NA,NA,NA,NA,NA,"No"
"chr2",291062,291164,102,0.00777891786883901,0.023336753606517,72290,40792,40794,3,18,0.118324273075072,1,0.160201247314082,1,NA,NA,NA,NA,NA,"No"
"chr2",131673771,131673963,192,-0.00774264506981632,0.0232279352094489,78835,57273,57275,3,16,0.119901282094039,1,0.161471430409117,1,"50649","ARHGEF4",131672786,131804836,132051,"No"
"chr8",57350948,57351067,119,0.00772527312881514,0.0231758193864454,133668,194558,194560,3,7,0.120725519436279,1,0.162149877793712,1,NA,NA,NA,NA,NA,"No"
"chr3",129325693,129325717,24,-0.00769108397036845,0.0230732519111053,96036,85080,85082,3,9,0.1222682249358,1,0.163470563292376,1,NA,NA,NA,NA,NA,"No"
"chr2",66672688,66672841,153,0.0115002503605934,0.0230005007211868,75959,49816,49817,2,11,0.0521308679266858,1,0.164408192823894,1,"4211","MEIS1",66662532,66799891,137360,"No"
"chr5",138089096,138089148,52,-0.00766616769109102,0.0229985030732731,110740,123269,123271,3,8,0.123341162794022,1,0.164432967587938,1,"1495","CTNNA1",138089107,138270723,181617,"No"
"chr1",8938701,8938751,50,-0.00764794802565107,0.0229438440769532,1348,5467,5469,3,16,0.124117756359253,1,0.165159058749541,1,NA,NA,NA,NA,NA,"No"
"chr11",1215457,1215781,324,0.00761864623415814,0.0228559387024744,22050,235259,235261,3,10,0.125370787694565,1,0.166288216264633,1,"727897","MUC5B",1151580,1283406,131827,"No"
"chr4",2820428,2820479,51,-0.00753202046885048,0.0225960614065515,99529,94768,94770,3,7,0.128982185991777,1,0.169630903659519,1,"6452","SH3BP2",2794750,2842823,48074,"No"
"chr6",29933915,29933971,56,0.00751913414036807,0.0225574024211042,115731,137608,137610,3,8,0.12953104230291,1,0.170133069069184,1,NA,NA,NA,NA,NA,"No"
"chr4",7044981,7044990,9,-0.00751732800926524,0.0225519840277957,99982,96319,96321,3,22,0.129608225221663,1,0.170215016365637,1,"100129931","LOC100129931",7032281,7047958,15678,"No"
"chr15",85360655,85360691,36,0.0075039802289693,0.0225119406869079,50216,314263,314265,3,10,0.130160893034956,1,0.170718134650843,1,"57538","ALPK3",85359911,85416713,56803,"No"
"chr10",3282231,3282437,206,-0.00747747981710799,0.022432439451324,14704,214467,214469,3,18,0.131301485056529,1,0.171812988646488,1,NA,NA,NA,NA,NA,"No"
"chr10",77158502,77159055,553,-0.0111966637415711,0.0223933274831421,17980,222464,222465,2,62,0.0583826843456842,1,0.172321824184934,1,"84858","ZNF503",77157603,77161513,3911,"No"
"chr7",150105495,150105713,218,-0.0111894728892547,0.0223789457785094,129690,183087,183088,2,21,0.0585370501831903,1,0.172500011910944,1,"728743","LOC728743",150097790,150109558,11769,"No"
"chr1",32930511,32930544,33,0.00745031749498945,0.0223509524849683,3953,12657,12659,3,13,0.132391574674474,1,0.172838282727702,1,NA,NA,NA,NA,NA,"No"
"chr5",56204834,56204891,57,0.00743918208925847,0.0223175462677754,107789,116045,116047,3,13,0.132846096307131,1,0.173282322729417,1,NA,NA,NA,NA,NA,"No"
"chr17",1394477,1394674,197,-0.00742842601985371,0.0222852780595611,57484,336481,336483,3,13,0.133269173046962,1,0.173703493718168,1,"4641","MYO1C",1367480,1396001,28522,"No"
"chr15",81294292,81294324,32,0.00742822813393055,0.0222846844017916,50033,313726,313728,3,15,0.133274890300203,1,0.173712069598029,1,NA,NA,NA,NA,NA,"No"
"chr20",6104884,6104886,2,-0.0111383373952213,0.0222766747904425,84600,388547,388548,2,12,0.0596519145651791,1,0.173821650285148,1,NA,NA,NA,NA,NA,"No"
"chr16",75241914,75242114,200,-0.0111341668855687,0.0222683337711373,55622,330628,330629,2,8,0.0597481549947354,1,0.173930278096726,1,NA,NA,NA,NA,NA,"No"
"chr1",101005376,101005509,133,0.00741572136144261,0.0222471640843278,7529,22267,22269,3,11,0.133760856825686,1,0.174206612003373,1,"54112","GPR88",101003728,101007583,3856,"No"
"chr15",99409194,99409411,217,-0.00740497700078552,0.0222149310023566,51034,316371,316373,3,10,0.134159158801473,1,0.174628735867665,1,"3480","IGF1R",99192761,99507759,314999,"No"
"chr8",143751796,143751801,5,0.0111027063691132,0.0222054127382265,137046,202494,202495,2,12,0.0604618587743162,1,0.174760232692207,1,"8000","PSCA",143751726,143764145,12420,"No"
"chr15",75119324,75119335,11,0.0110931982889575,0.0221863965779149,49549,312452,312453,2,12,0.0606857845262541,1,0.175025132092372,1,"594855","CPLX3",75117817,75124136,6320,"No"
"chr1",1108820,1108924,104,-0.0073699125378061,0.0221097376134183,79,533,535,3,12,0.135525582326064,1,0.176072342311009,1,NA,NA,NA,NA,NA,"No"
"chr6",7108058,7108063,5,-0.0110191753724917,0.0220383507449834,114203,132625,132626,2,17,0.0625095883101229,1,0.177036652357652,1,"6239","RREB1",7107830,7252213,144384,"No"
"chr7",2760692,2760784,92,0.0109915213199783,0.0219830426399567,122947,165031,165032,2,18,0.0632042345789005,1,0.177761790643715,1,NA,NA,NA,NA,NA,"No"
"chr13",108866993,108867134,141,0.00732268518959895,0.0219680555687969,40847,288130,288132,3,12,0.137194067396887,1,0.177959988756069,1,"3981","LIG4",108859792,108870716,10925,"No"
"chr1",78443929,78444087,158,-0.0109832267638259,0.0219664535276519,6707,20166,20167,2,12,0.0634157729488163,1,0.177981904893492,1,"8880","FUBP1",78412167,78444777,32611,"No"
"chr20",30073521,30073546,25,-0.00730634798991082,0.0219190439697325,84976,390033,390035,3,10,0.137795331862729,1,0.178635577514043,1,NA,NA,NA,NA,NA,"No"
"chr2",219157083,219157111,28,-0.00719331549110772,0.0215799464733232,82198,64929,64931,3,11,0.141381002520356,1,0.183055967144851,1,"25953","PNKD",219135115,219211516,76402,"No"
"chr2",219157083,219157111,28,-0.00719331549110772,0.0215799464733232,82198,64929,64931,3,11,0.141381002520356,1,0.183055967144851,1,"64114","TMBIM1",219138917,219157280,18364,"No"
"chr17",79008857,79008895,38,-0.00716872183937079,0.0215061655181124,64015,357399,357401,3,21,0.142096612051017,1,0.184005984058392,1,NA,NA,NA,NA,NA,"No"
"chr5",121647630,121647642,12,0.0071237987920779,0.0213713963762337,109878,121010,121012,3,16,0.143290565102839,1,0.185663034622733,1,"9627","SNCAIP",121647386,121799794,152409,"No"
"chr14",73958272,73958280,8,0.0106798553172824,0.0213597106345648,43969,297439,297440,2,14,0.0714485137523762,1,0.185819306211319,1,"399671","HEATR4",73945189,74025651,80463,"No"
"chr2",122513569,122513644,75,0.0106744088283524,0.0213488176567047,78489,56438,56439,2,9,0.0716209842251454,1,0.185969860546665,1,"7247","TSN",122513121,122525428,12308,"No"
"chr1",2322978,2323029,51,0.00709916552686983,0.0212974965806095,376,2070,2072,3,18,0.143849903044914,1,0.186616863038434,1,"79906","MORN1",2252696,2322993,70298,"No"
"chr14",105487572,105487648,76,0.0105929601151169,0.0211859202302338,46174,303592,303593,2,11,0.0739907856935266,1,0.187993768193967,1,NA,NA,NA,NA,NA,"No"
"chr19",58663300,58663362,62,-0.0105528834434719,0.0211057668869438,72193,386763,386764,2,10,0.075209513509393,1,0.188937114978727,1,"79673","ZNF329",58637619,58666477,28859,"No"
"chr10",81205166,81205417,251,0.0105512284638294,0.0211024569276587,18334,223067,223068,2,15,0.0752514400331601,1,0.188976182875874,1,"219654","ZCCHC24",81142083,81205383,63301,"No"
"chr2",107502677,107502801,124,0.00701254139736154,0.0210376241920846,77779,54691,54693,3,17,0.145508859360335,1,0.18972323729936,1,"84620","ST6GAL2",107418056,107503563,85508,"No"
"chr1",3305115,3305629,514,-0.0105018872391385,0.0210037744782771,616,3226,3227,2,18,0.0768208260478058,1,0.190110104768666,1,"63976","PRDM16",2985742,3355185,369444,"No"
"chr15",79103718,79103753,35,0.0104532851706819,0.0209065703413637,49866,313341,313342,2,10,0.0784178454531161,1,0.191253555416859,1,"11173","ADAMTS7",79051545,79103773,52229,"No"
"chr11",7273046,7273148,102,0.0069255011803203,0.0207765035409609,22759,238295,238297,3,11,0.146504614299803,1,0.192625696194692,1,"143425","SYT9",7260009,7490276,230268,"No"
"chr10",22609266,22609629,363,0.0103739609644778,0.0207479219289556,15683,216927,216928,2,13,0.0809991852914132,1,0.192934427869704,1,"100532731","COMMD3-BMI1",22605312,22620414,15103,"No"
"chr15",89312795,89312863,68,0.0103681471956591,0.0207362943913183,50398,314625,314626,2,7,0.0811954776526864,1,0.193057348814385,1,NA,NA,NA,NA,NA,"No"
"chr3",130064261,130064318,57,-0.010344525509831,0.0206890510196619,96069,85155,85156,2,7,0.0820244793726267,1,0.193546173966487,1,NA,NA,NA,NA,NA,"No"
"chr7",157493638,157493703,65,-0.0103097065398873,0.0206194130797746,130375,185614,185615,2,8,0.0832050921668866,1,0.19421032821798,1,NA,NA,NA,NA,NA,"No"
"chr1",8937448,8937640,192,0.0102533478729298,0.0205066957458595,1348,5463,5464,2,16,0.0851575341486772,1,0.195279454574041,1,"2023","ENO1",8921059,8939151,18093,"No"
"chr15",74045075,74045083,8,0.0102357179898233,0.0204714359796467,49413,311986,311987,2,9,0.0857864320051836,1,0.195618678266338,1,NA,NA,NA,NA,NA,"No"
"chr17",21281318,21281507,189,0.0101452086364212,0.0202904172728424,59249,342265,342266,2,19,0.0891157791425073,1,0.197432953294805,1,"3768","KCNJ12",21279699,21323179,43481,"No"
"chr8",22562397,22562469,72,-0.0100953424566496,0.0201906849132992,132076,190556,190557,2,10,0.0910377291070127,1,0.198491598019925,1,NA,NA,NA,NA,NA,"No"
"chr4",121994092,121994123,31,0.0100891325849963,0.0201782651699925,103445,104825,104826,2,15,0.091281665245294,1,0.198618330466766,1,NA,NA,NA,NA,NA,"No"
"chr7",73153259,73153318,59,0.0100717591307401,0.0201435182614801,126079,173393,173394,2,15,0.0919305734881438,1,0.198971847292166,1,NA,NA,NA,NA,NA,"No"
"chr3",58318960,58319104,144,-0.0100687871266671,0.0201375742533341,93358,79378,79379,2,8,0.0920372955486419,1,0.199033784202276,1,"54899","PXK",58318617,58410878,92262,"No"
"chr22",19842501,19842507,6,0.01005234687167,0.0201046937433399,88131,400641,400642,2,14,0.0926928739202729,1,0.199381583774435,1,NA,NA,NA,NA,NA,"No"
"chr17",42402049,42402188,139,-0.00995866105989594,0.0199173221197919,60920,347630,347631,2,16,0.0964719783125527,1,0.201395962666336,1,"51629","SLC25A39",42396993,42402217,5225,"No"
"chr1",41707370,41707379,9,-0.00993252102867796,0.0198650420573559,4705,14913,14914,2,10,0.0976001829521037,1,0.202003897260959,1,"22955","SCMH1",41492871,41707815,214945,"No"
"chr4",6675309,6675513,204,0.00992958609162485,0.0198591721832497,99929,96138,96139,2,15,0.0977278682744853,1,0.202075362926471,1,NA,NA,NA,NA,NA,"No"
"chr19",913261,913277,16,-0.00989791195727732,0.0197958239145546,66324,365762,365763,2,11,0.0990761871638136,1,0.202804312714695,1,NA,NA,NA,NA,NA,"No"
"chr12",49525230,49525240,10,-0.00987239481942061,0.0197447896388412,32662,265540,265541,2,17,0.100197721674583,1,0.203416058811478,1,"10376","TUBA1B",49521567,49525304,3738,"No"
"chr15",76627594,76627666,72,0.00984435878353467,0.0196887175670693,49685,312869,312870,2,39,0.101396439104106,1,0.204101176324854,1,NA,NA,NA,NA,NA,"No"
"chr6",147524841,147524977,136,-0.009833507684627,0.019667015369254,120618,157246,157247,2,10,0.101883358505129,1,0.204358452720698,1,"729178","STXBP5-AS1",147162525,147525750,363226,"No"
"chr16",3988694,3988700,6,-0.00977445543394921,0.0195489108678984,52179,321173,321174,2,7,0.104514247871514,1,0.205773472897837,1,NA,NA,NA,NA,NA,"No"
"chr17",43319371,43319382,11,-0.00976643854664603,0.0195328770932921,61053,348090,348091,2,8,0.104883010705557,1,0.205980246890052,1,"752","FMNL1",43299292,43324686,25395,"No"
"chr5",140730469,140730516,47,0.00973025580346464,0.0194605116069293,111070,124409,124410,2,13,0.106548637149759,1,0.206935028181294,1,"56104","PCDHGB1",140729828,140892548,162721,"No"
"chr16",30935108,30935391,283,-0.00968049159827768,0.0193609831965554,53780,325406,325407,2,16,0.108823151064124,1,0.208202352649709,1,"54620","FBXL19",30934392,30960104,25713,"No"
"chr2",111878479,111878481,2,0.00965908530077796,0.0193181706015559,77949,55071,55072,2,28,0.109836057763315,1,0.208745491707601,1,NA,NA,NA,NA,NA,"No"
"chr13",113677628,113677777,149,-0.00964762815549427,0.0192952563109885,41382,290052,290053,2,8,0.110345846177302,1,0.209027542867488,1,"23263","MCF2L",113622814,113754053,131240,"No"
"chr17",73267436,73267439,3,0.00961603805357162,0.0192320761071432,63070,353959,353960,2,11,0.11192857244951,1,0.209881319351473,1,"100287042","LOC100287042",73267380,73269976,2597,"No"
"chr10",23463243,23463377,134,0.00961416777666964,0.0192283355533393,15735,217096,217097,2,19,0.112023860003526,1,0.209932774630642,1,NA,NA,NA,NA,NA,"No"
"chr12",62997570,62997631,61,-0.00960770868828442,0.0192154173765688,33717,269452,269453,2,13,0.112319251420976,1,0.210096669223549,1,NA,NA,NA,NA,NA,"No"
"chr6",27099719,27099813,94,-0.00959235317919045,0.0191847063583809,115405,135467,135468,2,16,0.113071070222163,1,0.210532133345403,1,NA,NA,NA,NA,NA,"No"
"chr20",6103629,6103823,194,0.00957534073291086,0.0191506814658217,84600,388540,388541,2,12,0.113911506448585,1,0.210999042360082,1,"55612","FERMT1",6055492,6104191,48700,"No"
"chr16",89787876,89788035,159,-0.00954574421404702,0.019091488428094,57156,335385,335386,2,14,0.115499949974034,1,0.21187092347933,1,"92822","ZNF276",89786808,89807332,20525,"No"
"chr2",237078704,237078733,29,0.00951780871067258,0.0190356174213452,83356,68123,68124,2,38,0.117082676246242,1,0.212764720736001,1,NA,NA,NA,NA,NA,"No"
"chr19",47363945,47363949,4,0.00950630524970086,0.0190126104994017,70772,381768,381769,2,8,0.117677270583303,1,0.213128719192343,1,NA,NA,NA,NA,NA,"No"
"chr1",85666874,85666970,96,-0.00948565331945916,0.0189713066389183,6893,20581,20582,2,14,0.118748302690444,1,0.21376524005317,1,NA,NA,NA,NA,NA,"No"
"chr4",88142275,88142277,2,-0.00946693106649991,0.0189338621329998,102528,102588,102589,2,11,0.119745010505453,1,0.214316954990924,1,NA,NA,NA,NA,NA,"No"
"chr16",84695193,84695337,144,0.00940829081885485,0.0188165816377097,56126,331820,331821,2,7,0.122998127599564,1,0.216169345040997,1,"79786","KLHL36",84682131,84695916,13786,"No"
"chr11",68609166,68609203,37,-0.00939957918254662,0.0187991583650932,26368,249443,249444,2,28,0.123480282622885,1,0.216442820321024,1,"1374","CPT1A",68522088,68609399,87312,"No"
"chr5",179921286,179921349,63,-0.00938248982664433,0.0187649796532887,113511,130689,130690,2,9,0.12439504314144,1,0.216983100752295,1,NA,NA,NA,NA,NA,"No"
"chr5",40679165,40679182,17,-0.00932857477549767,0.0186571495509953,107355,114873,114874,2,20,0.127384213710926,1,0.218675407711622,1,NA,NA,NA,NA,NA,"No"
"chr6",28983835,28984234,399,-0.00928826478335673,0.0185765295667135,115643,136883,136884,2,25,0.129706371402299,1,0.219996093210285,1,NA,NA,NA,NA,NA,"No"
"chr10",134000400,134000410,10,-0.00928532557084256,0.0185706511416851,21451,232166,232167,2,20,0.129875983248448,1,0.220098050893083,1,NA,NA,NA,NA,NA,"No"
"chr4",82393353,82393369,16,0.00928257880097823,0.0185651576019565,102313,102019,102020,2,15,0.130016055952852,1,0.220168563683055,1,NA,NA,NA,NA,NA,"No"
